id_number 1,site,category,short_description,criteria_txt,justification,danger,latitude,longitude,region,iso_code,states,location,transboundary,date_inscribed,secondary_dates,revision,extension,unique_number,http_url,image_url,wikidata_URI,wikidata_Label,wikidata_instance_of_URI,wikidata_instance_of_label,wikidata_culture_URI,wikidata_culture_label,wikidata_area_in_sq_meters
1017,Central Suriname Nature Reserve,Natural,"The Central Suriname Nature Reserve comprises 1.6 million ha of primary tropical forest of west-central Suriname. It protects the upper watershed of the Coppename River and the headwaters of the Lucie, Oost, Zuid, Saramaccz, and Gran Rio rivers and covers a range of topography and ecosystems of notable conservation value due to its pristine state. Its montane and lowland forests contain a high diversity of plant life with more than 5,000 vascular plant species collected to date. The Reserve's animals are typical of the region and include the jaguar, giant armadillo, giant river otter, tapir, sloths, eight species of primates and 400 bird species such as harpy eagle, Guiana cock-of-the-rock, and scarlet macaw.",(ix)(x),"Criteria (ix) and (x): The site encompasses significant vertical relief, topography and soil conditions that have resulted in a variety of ecosystems. This ecosystem variation allows organisms within these ecosystems to move in response to disturbance, adapt to change and maintain gene flow between populations. The site’s size, undisturbed state (in general a rare condition in Amazonian forest parks) and protection of the entire Coppename watershed, will allow long-term functioning of the ecosystem. The site contains a high diversity of plant and animal species, many of which are endemic to the Guyana Shield and are globally threatened.",,4.0000000000,-56.5000000000,Latin America and the Caribbean,sr,Suriname,District Sipaliwini,0,2000,,0,0,1187,https://whc.unesco.org/en/list/1017,https://whc.unesco.org/uploads/sites/site_1017.jpg,http://www.wikidata.org/entity/Q189934,Central Suriname Nature Reserve,"http://www.wikidata.org/entity/Q199403, http://www.wikidata.org/entity/Q179049","tropical forest, nature reserve",,,16000000000
102,Al Qal'a of Beni Hammad,Cultural,"In a mountainous site of extraordinary beauty, the ruins of the first capital of the Hammadid emirs, founded in 1007 and demolished in 1152, provide an authentic picture of a fortified Muslim city. The mosque, whose prayer room has 13 aisles with eight bays, is one of the largest in Algeria.",(iii),,,35.8184400000,4.7868400000,Arab States,dz,Algeria,"Commune of Maadid ""Bechara"", Wilaya (province) of M'Sila",0,1980,,0,0,111,https://whc.unesco.org/en/list/102,https://whc.unesco.org/uploads/sites/site_102.jpg,http://www.wikidata.org/entity/Q500367,Beni Hammad Fort,"http://www.wikidata.org/entity/Q7265965, http://www.wikidata.org/entity/Q839954, http://www.wikidata.org/entity/Q486972","qalat, archaeological site, human settlement",,,1500000
1021,Tsodilo,Cultural,"With one of the highest concentrations of rock art in the world, Tsodilo has been called the ''Louvre of the Desert''. Over 4,500 paintings are preserved in an area of only 10 km2 of the Kalahari Desert. The archaeological record of the area gives a chronological account of human activities and environmental changes over at least 100,000 years. Local communities in this hostile environment respect Tsodilo as a place of worship frequented by ancestral spirits.",(i)(iii)(vi),"Criterion i: For many thousands of years the rocky outcrops of Tsodilo in the harsh landscape of the Kalahari Desert have been visited and settled by humans, who have left rich traces of their presence in the form of outstanding rock art.
Criterion iii: Tsodilo is a site that has witnessed visits and settlement by successive human communities for many millennia.
Criterion vi: The Tsodilo outcrops have immense symbolic and religious significance for the human communities who continue to survive in this hostile environment.",,-18.7500000000,21.7333333300,Africa,bw,Botswana,"The Ngamiland District, north-west

Botswana",0,2001,,0,0,1191,https://whc.unesco.org/en/list/1021,https://whc.unesco.org/uploads/sites/site_1021.jpg,http://www.wikidata.org/entity/Q214007,Tsodilo,http://www.wikidata.org/entity/Q839954,archaeological site,,,48000000
1022,Tombs of Buganda Kings at Kasubi,Cultural,"The Tombs of Buganda Kings at Kasubi constitute a site embracing almost 30 ha of hillside within Kampala district. Most of the site is agricultural, farmed by traditional methods. At its core on the hilltop is the former palace of the Kabakas of Buganda, built in 1882 and converted into the royal burial ground in 1884. Four royal tombs now lie within the Muzibu Azaala Mpanga, the main building, which is circular and surmounted by a dome. It is a major example of an architectural achievement in organic materials, principally wood, thatch, reed, wattle and daub. The site's main significance lies, however, in its intangible values of belief, spirituality, continuity and identity.",(i)(iii)(iv)(vi),"Criterion i The Kasubi Tombs site is a masterpiece of human creativity both in its conception and its execution. Criterion iii The Kasubi Tombs site bears eloquent witness to the living cultural traditions of the Baganda. Criterion iv The spatial organization of the Kasubi Tombs site represents the best extant example of a Baganda palace/architectural ensemble. Built in the finest traditions of Ganda architecture and palace design, it reflects technical achievements developed over many centuries. Criterion vi The built and natural elements of the Kasubi Tombs site are charged with historical, traditional, and spiritual values. It is a major spiritual centre for the Baganda and is the most active religious place in the kingdom.",Y 2010,0.3486111110,32.5513888900,Africa,ug,Uganda,Kampala District,0,2001,,0,0,1192,https://whc.unesco.org/en/list/1022,https://whc.unesco.org/uploads/sites/site_1022.jpg,http://www.wikidata.org/entity/Q309426,Kasubi Tombs,"http://www.wikidata.org/entity/Q4989906, http://www.wikidata.org/entity/Q381885","monument, tomb",,,268000
1031,Historic Centre of Guimarães and Couros Zone,Cultural,"The historic town of Guimarães is associated with the emergence of the Portuguese national identity in the 12th century. An exceptionally well-preserved and authentic example of the evolution of a medieval settlement into a modern town, its rich building typology exemplifies the specific development of Portuguese architecture from the 15th to 19th century through the consistent use of traditional building materials and techniques. The property includes two monastic complexes and an industrial area, the Couros Zone, which, like the local river, was named after the traditional craft of leather tanning. Evidence of the craft, though no longer practiced, persists in the form of tanneries, workers' houses and urban spaces from the 19th and early 20th centuries. The property bears witness to a thousand years of Portuguese urban, architectural and societal developments.",(ii)(iii)(iv),,,41.4430000000,-8.2927777778,Europe and North America,pt,Portugal,"Province of Minho, District of Braga",0,2001,2023,0,1,2485,https://whc.unesco.org/en/list/1031,https://whc.unesco.org/uploads/sites/site_1031.jpg,http://www.wikidata.org/entity/Q2945649,Historic Centre of Guimarães and Couros Zone,"http://www.wikidata.org/entity/Q676050, http://www.wikidata.org/entity/Q210272, http://www.wikidata.org/entity/Q123705","old town, cultural heritage, neighborhood",,,382000
1035,Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks,Natural,"The two sites included in the designation contain flora and fauna and key habitats that characterize the Cerrado – one of the world’s oldest and most diverse tropical ecosystems. For millennia, these sites have served as refuge for several species during periods of climate change and will be vital for maintaining the biodiversity of the Cerrado region during future climate fluctuations.",(ix)(x),"Criterion (ix): CPA has played a key role for millenia in maintaining the biodiversity of the Cerrado Ecoregion. Due it its central location and altidudinal variation, it has acted as a relatively stable species refuge when climate change has caused the Cerrado to move north-south or east-west. This role as a species refuge is ongoing as Earth enters another period of climate change.
Criterion (x): CAS contains samples of all key habitats that characterise the Cerrado ecoregion – one of Earth’s oldest tropical ecosystems. It contains over 60% of all floral species and almost 80% of all vertebrate species described for the Cerrado. With the exception of the Giant Otter, all of the Cerrado’s endangered large mammals occur in the site. In addition, the site supports many rare small mammals and bird species that do not occur elsewhere in the Cerrado and a number of species new to science have been discovered in CPA.",,-14.0056944400,-47.6846111100,Latin America and the Caribbean,br,Brazil,"Central Brazil Plateau, State of Goiás",0,2001,,0,0,2363,https://whc.unesco.org/en/list/1035,https://whc.unesco.org/uploads/sites/site_1035.jpg,http://www.wikidata.org/entity/Q278512,Cerrado,"http://www.wikidata.org/entity/Q10327255, http://www.wikidata.org/entity/Q6617741, http://www.wikidata.org/entity/Q42320","Q10327255, WWF ecoregion, savanna",,,3673560000
1039,Yungang Grottoes,Cultural,"The Yungang Grottoes, in Datong city, Shanxi Province, with their 252 caves and 51,000 statues, represent the outstanding achievement of Buddhist cave art in China in the 5th and 6th centuries. The Five Caves created by Tan Yao, with their strict unity of layout and design, constitute a classical masterpiece of the first peak of Chinese Buddhist art.",(i)(ii)(iii)(iv),"Criterion (i): The assemblage of statuary of the Yungang Grottoes is a masterpiece of early Chinese Buddhist cave art.
Criterion (ii): The Yungang cave art represent the successful fusion of Buddhist religious symbolic art from south and central Asia with Chinese cultural traditions, starting in the 5th century CE under Imperial auspices.
Criterion (iii): The power and endurance of Buddhist belief in China are vividly illustrated by the Yungang grottoes.
Criterion (iv): The Buddhist tradition of religious cave art achieved its first major impact at Yungang, where it developed its own distinct character and artistic power.",,40.1097200000,113.1222200000,Asia and the Pacific,cn,China,"Datong City, Shanxi Province",0,2001,,0,0,1213,https://whc.unesco.org/en/list/1039,https://whc.unesco.org/uploads/sites/site_1039.jpg,http://www.wikidata.org/entity/Q308805,Yungang Grottoes,http://www.wikidata.org/entity/Q1131329,grotto,,,3487500
1040,Masada,Cultural,"Masada is a rugged natural fortress, of majestic beauty, in the Judaean Desert overlooking the Dead Sea. It is a symbol of the ancient kingdom of Israel, its violent destruction and the last stand of Jewish patriots in the face of the Roman army, in 73 A.D. It was built as a palace complex, in the classic style of the early Roman Empire, by Herod the Great, King of Judaea, (reigned 37 – 4 B.C.). The camps, fortifications and attack ramp that encircle the monument constitute the most complete Roman siege works surviving to the present day.",(iii)(iv)(vi),"Criterion (iii): Masada is a symbol of the ancient Jewish kingdom of Israel, of its violent destruction in the later 1st century CE, and of the subsequent Diaspora.
Criterion (iv): The palace of Herod the Great at Masada is an outstanding example of a luxurious villa of the Early Roman Empire, whilst the camps and other fortifications that encircle the monument constitute the finest and most complete Roman siege works to have survived to the present day.
Criterion (vi): The tragic events during the last days of the Jewish refugees who occupied the fortress and palace of Masada make it a symbol both of Jewish cultural identity and, more universally, of the continuing human struggle between oppression and liberty.",,31.3155555556,35.3536111111,Europe and North America,il,Israel,,0,2001,,0,0,1214,https://whc.unesco.org/en/list/1040,https://whc.unesco.org/uploads/sites/site_1040.jpg,http://www.wikidata.org/entity/Q186312,Masada,"http://www.wikidata.org/entity/Q839954, http://www.wikidata.org/entity/Q57831, http://www.wikidata.org/entity/Q9259","archaeological site, fortress, World Heritage Site",http://www.wikidata.org/entity/Q9268,Judaism,2760000
1042,Old City of Acre,Cultural,"Acre is a historic walled port-city with continuous settlement from the Phoenician period. The present city is characteristic of a fortified town dating from the Ottoman 18th and 19th centuries, with typical urban components such as the citadel, mosques, khans and baths. The remains of the Crusader town, dating from 1104 to 1291, lie almost intact, both above and below today's street level, providing an exceptional picture of the layout and structures of the capital of the medieval Crusader kingdom of Jerusalem.",(ii)(iii)(v),"Criterion (ii): Acre is an exceptional historic town in that preserves the substantial remains of the its medieval Crusader buildings beneath the existing Moslem fortified town dating from the 18th and 19th centuries.
Criterion (iii): The remains of the Crusader town of Acre, both above and below the present-day street level, provide an exceptional picture of the layout and structures of the capital of the medieval Crusader Kingdom of Jerusalem.
Criterion (v): Present-day Acre is an important example of an Ottoman walled town, with typical urban components such as the citadel, mosques, khans, and baths well preserved, partly built on top of the underlying Crusader structures.",,32.9216666667,35.0688888889,Europe and North America,il,Israel,Western Galilee,0,2001,,0,0,1217,https://whc.unesco.org/en/list/1042,https://whc.unesco.org/uploads/sites/site_1042.jpg,http://www.wikidata.org/entity/Q126084,Acre,"http://www.wikidata.org/entity/Q9259, http://www.wikidata.org/entity/Q515","World Heritage Site, city",,,633000
1056,Mahabodhi Temple Complex at Bodh Gaya,Cultural,"The Mahabodhi Temple Complex is one of the four holy sites related to the life of the Lord Buddha, and particularly to the attainment of Enlightenment. The first temple was built by Emperor Asoka in the 3rd century B.C., and the present temple dates from the 5th or 6th centuries. It is one of the earliest Buddhist temples built entirely in brick, still standing in India, from the late Gupta period.",(i)(ii)(iii)(iv)(vi),"Criterion (i): The grand 50m high Mahabodhi Temple of the 5th-6th centuries is of immense importance, being one of the earliest temple constructions existing in the Indian sub-continent. It is one of the few representations of the architectural genius of the Indian people in constructing fully developed brick temples in that era.
Criterion (ii): The Mahabodhi Temple, one of the few surviving examples of early brick structures in India, has had significant influence in the development of architecture over the centuries.
Criterion (iii): The site of the Mahabodhi Temple provides exceptional records for the events associated with the life of Buddha and subsequent worship, particularly since Emperor Asoka built the first temple, the balustrades, and the memorial column.
Criterion (iv): The present Temple is one of the earliest and most imposing structures built entirely in brick from the late Gupta period. The sculpted stone balustrades are an outstanding early example of sculptural reliefs in stone.
Criterion (vi): The Mahabodhi Temple Complex in Bodh Gaya has direct association with the life of the Lord Buddha, being the place where He attained the supreme and perfect insight.",,24.6952800000,84.9938900000,Asia and the Pacific,in,India,"State of Bihar, Eastern India",0,2002,,0,0,1231,https://whc.unesco.org/en/list/1056,https://whc.unesco.org/uploads/sites/site_1056.jpg,http://www.wikidata.org/entity/Q4513,Mahabodhi Temple,http://www.wikidata.org/entity/Q5393308,Buddhist temple,,,48600
1058,Portuguese City of Mazagan (El Jadida),Cultural,"The Portuguese fortification of Mazagan, now part of the city of El Jadida, 90-km southwest of Casablanca, was built as a fortified colony on the Atlantic coast in the early 16th century. It was taken over by the Moroccans in 1769. The fortification with its bastions and ramparts is an early example of Renaissance military design. The surviving Portuguese buildings include the cistern and the Church of the Assumption, built in the Manueline style of late Gothic architecture. The Portuguese City of Mazagan - one of the early settlements of the Portuguese explorers in West Africa on the route to India - is an outstanding example of the interchange of influences between European and Moroccan cultures, well reflected in architecture, technology, and town planning.",(ii)(iv),"Criterion (ii): The Portuguese city of Mazagan is an outstanding example of the interchange of influences between European and Moroccan cultures, and one of the early settlements of the Portuguese explorers in West Africa, on the route to India. These influences are well reflected in architecture, technology, and town planning.
Criterion (iv): The Portuguese fortified city of Mazagan is an outstanding and early example of the realisation of the Renaissance ideals integrated with Portuguese construction technology. Notable buildings from the Portuguese period include: the cistern, and the church of the Assumption, built in the Manueline style of the early 16th century.",,33.2566700000,-8.5019400000,Arab States,ma,Morocco,"Region: Doukkala-Abda, Province El Jadida",0,2004,,0,0,1234,https://whc.unesco.org/en/list/1058,https://whc.unesco.org/uploads/sites/site_1058.jpg,http://www.wikidata.org/entity/Q555360,Mazagan,"http://www.wikidata.org/entity/Q1128906, http://www.wikidata.org/entity/Q839954, http://www.wikidata.org/entity/Q702492, http://www.wikidata.org/entity/Q676050, http://www.wikidata.org/entity/Q210272, http://www.wikidata.org/entity/Q102496, http://www.wikidata.org/entity/Q57831, http://www.wikidata.org/entity/Q3957","medina quarter, archaeological site, urban area, old town, cultural heritage, parish, fortress, town",,,75000
1060,Kenya Lake System in the Great Rift Valley,Natural,"The Kenya Lake System in the Great Rift Valley , a natural property of outstanding beauty, comprises three inter-linked relatively shallow lakes (Lake Bogoria, Lake Nakuru and Lake Elementaita) in the Rift Valley Province of Kenya and covers a total area of 32,034 hectares. The property is home to 13 globally threatened bird species and some of the highest bird diversities in the world. It is the single most important foraging site for the lesser flamingo anywhere, and a major nesting and breeding ground for great white pelicans. The property features sizeable mammal populations, including black rhino, Rothschild's giraffe, greater kudu, lion, cheetah and wild dogs and is valuable for the study of ecological processes of major importance.",(vii)(ix)(x),,,-0.4425000000,36.2400000000,Africa,ke,Kenya,,0,2011,,1,0,1749,https://whc.unesco.org/en/list/1060,https://whc.unesco.org/uploads/sites/site_1060.jpg,http://www.wikidata.org/entity/Q2384313,Kenya Lake System in the Great Rift Valley,"http://www.wikidata.org/entity/Q28777651, http://www.wikidata.org/entity/Q190429","group of protected areas, depression",,,320340000
